show_id,title,type,release_year,date_added_parsed,year_added,month_added,rating,duration,duration_int,duration_type,country,director,listed_in,date_added
s1,Dick Johnson Is Dead,Movie,2020,2021-09-25,2021,9,PG-13,90 min,90,minutes,United States,Kirsten Johnson,Documentaries,9/25/2021
s3,Ganglands,TV Show,2021,2021-09-24,2021,9,TV-MA,1 Season,1,seasons,France,Julien Leclercq,"Crime TV Shows, International TV Shows, TV Action & Adventure",9/24/2021
s6,Midnight Mass,TV Show,2021,2021-09-24,2021,9,TV-MA,1 Season,1,seasons,United States,Mike Flanagan,"TV Dramas, TV Horror, TV Mysteries",9/24/2021
s14,Confessions of an Invisible Girl,Movie,2021,2021-09-22,2021,9,TV-PG,91 min,91,minutes,Brazil,Bruno Garotti,"Children & Family Movies, Comedies",9/22/2021
s8,Sankofa,Movie,1993,2021-09-24,2021,9,TV-MA,125 min,125,minutes,United States,Haile Gerima,"Dramas, Independent Movies, International Movies",9/24/2021
s9,The Great British Baking Show,TV Show,2021,2021-09-24,2021,9,TV-14,9 Seasons,9,seasons,United Kingdom,Andy Devonshire,"British TV Shows, Reality TV",9/24/2021
s10,The Starling,Movie,2021,2021-09-24,2021,9,PG-13,104 min,104,minutes,United States,Theodore Melfi,"Comedies, Dramas",9/24/2021
s939,Motu Patlu in the Game of Zones,Movie,2019,2021-05-01,2021,5,TV-Y7,87 min,87,minutes,India,Suhas Kadav,"Children & Family Movies, Comedies, Music & Musicals",5/1/2021
s13,Je Suis Karl,Movie,2021,2021-09-23,2021,9,TV-MA,127 min,127,minutes,Germany,Christian Schwochow,"Dramas, International Movies",9/23/2021
s940,Motu Patlu in Wonderland,Movie,2013,2021-05-01,2021,5,TV-Y7,76 min,76,minutes,India,Suhas Kadav,"Children & Family Movies, Music & Musicals",5/1/2021
s941,Motu Patlu: Deep Sea Adventure,Movie,2014,2021-05-01,2021,5,TV-Y7,76 min,76,minutes,India,Suhas Kadav,"Children & Family Movies, Comedies",5/1/2021
s942,Motu Patlu: Mission Moon,Movie,2013,2021-05-01,2021,5,TV-Y7,71 min,71,minutes,India,Suhas Kadav,"Children & Family Movies, Comedies",5/1/2021
s852,99 Songs (Tamil),Movie,2021,2021-05-21,2021,5,TV-14,131 min,131,minutes,Pakistan,Not Given,"Dramas, International Movies, Music & Musicals",5/21/2021
s471,Bridgerton - The Afterparty,Movie,2021,2021-07-13,2021,7,TV-14,39 min,39,minutes,United States,"Krysia Plonka, Kristian Mercado",Movies,7/13/2021
s730,Bling Empire - The Afterparty,Movie,2021,2021-06-12,2021,6,TV-MA,36 min,36,minutes,United States,"Krysia Plonka, Kristian Mercado",Movies,6/12/2021
s731,Cobra Kai - The Afterparty,Movie,2021,2021-06-12,2021,6,TV-MA,34 min,34,minutes,United States,"Krysia Plonka, Kristian Mercado",Movies,6/12/2021
s913,The Circle - The Afterparty,Movie,2021,2021-05-07,2021,5,TV-14,35 min,35,minutes,United States,"Krysia Plonka, Kristian Mercado",Comedies,5/7/2021
s4,Jailbirds New Orleans,TV Show,2021,2021-09-24,2021,9,TV-MA,1 Season,1,seasons,Pakistan,Not Given,"Docuseries, Reality TV",9/24/2021
s15,Crime Stories: India Detectives,TV Show,2021,2021-09-22,2021,9,TV-MA,1 Season,1,seasons,Pakistan,Not Given,"British TV Shows, Crime TV Shows, Docuseries",9/22/2021
